group,workload,regime,sla_label,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,mismatch_type,partition_selection_loss,reference_nonmonotone,evaluator_nonmonotone,evaluator_right_censored,no_safe_candidates,best_set_overlap,evaluator_recommended_intensity,exact_recommendation_reference_safe,reference_capacity_selected_partition,reference_best_capacity,partition_selection_regret,partition_selection_regret_intensity,recommended_load_utilization,operating_point_loss,safe_usable_quality,safe_operating_point_loss,within_selected_partition_operating_loss,evaluator_tie,reference_tie,no_safe_recommendation,reference_no_safe_candidates
h103-o500-d30-heterogeneous-slow,h103-o500-d30,prefill,relaxed-TPOT (fixed TTFT),legacy,2,[2],[0],3,1.1872938605000005,0.8781260801821986,False,False,0.4472135954999579,0.20875064300000012,"{""-1"":2.7735153601,""-2"":2.7140846452,""0"":2.7735153601,""1"":2.7735153601,""2"":2.8342474382}","{""-1"":8.192,""-2"":7.1936088489,""0"":9.7419846861,""1"":9.5332340431,""2"":8.5546908256}",strict best-set mismatch,0.12187391981780138,False,False,False,[],[],2.8342474382,True,8.5546908256,9.7419846861,0.12187391981780138,1.1872938605000005,0.29093121468810595,0.709068785311894,0.29093121468810595,0.709068785311894,0.5871948654940926,False,False,False,[]
h104-o700-d120-heterogeneous-fast,h104-o700-d120,decode,tight-TPOT,raw,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.0001489187000000003,"{""-1"":0.0033635856,""-2"":0.0035125043,""0"":0.0032915109,""1"":0.0032209806,""2"":0.0031519616}","{""-1"":0.0033635856,""-2"":0.0035125043,""0"":0.0032915109,""1"":0.0032209806,""2"":0.0031519616}",agreement,0.0,False,False,False,[],[-2],0.0035125043,True,0.0035125043,0.0035125043,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False,False,False,[]
h104-o700-d120-heterogeneous-fast,h104-o700-d120,decode,tight-TPOT,legacy,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.0001489187000000003,"{""-1"":0.0032915109,""-2"":0.0034372386,""0"":0.0032209806,""1"":0.0031519616,""2"":0.0030844216}","{""-1"":0.0033635856,""-2"":0.0035125043,""0"":0.0032915109,""1"":0.0032209806,""2"":0.0031519616}",agreement,0.0,False,False,False,[],[-2],0.0034372386,True,0.0035125043,0.0035125043,0.0,0.0,0.9785720689366844,0.02142793106331564,0.9785720689366844,0.02142793106331564,0.021427931063315694,False,False,False,[]
h104-o700-d120-heterogeneous-fast,h104-o700-d120,prefill,relaxed-TPOT (fixed TTFT),raw,2,[2],"[0,1]",3,0.6919345447999996,0.8973545374954421,False,False,0.3535533905932738,0.0,"{""-1"":1.1916542554,""-2"":1.166119562,""0"":1.1916542554,""1"":1.1916542554,""2"":1.2177480858}","{""-1"":6.0490798938,""-2"":5.4281692904,""0"":6.7410144386,""1"":6.7410144386,""2"":6.0490798938}",strict best-set mismatch,0.10264546250455786,False,False,False,[],[],1.2177480858,True,6.0490798938,6.7410144386,0.10264546250455786,0.6919345447999996,0.18064760087547102,0.819352399124529,0.18064760087547102,0.819352399124529,0.7167069366199711,False,True,False,[]
h104-o700-d120-heterogeneous-fast,h104-o700-d120,prefill,relaxed-TPOT (fixed TTFT),legacy,0,"[0,1,2]","[0,1]",1,0.0,1.0,True,False,0.7607257743127307,0.0,"{""-1"":1.166119562,""-2"":1.166119562,""0"":1.1916542554,""1"":1.1916542554,""2"":1.1916542554}","{""-1"":6.0490798938,""-2"":5.4281692904,""0"":6.7410144386,""1"":6.7410144386,""2"":6.0490798938}",agreement,0.0,False,False,False,[],"[0,1]",1.1916542554,True,6.7410144386,6.7410144386,0.0,0.0,0.17677669529624795,0.823223304703752,0.17677669529624795,0.823223304703752,0.823223304703752,True,True,False,[]
h105-o900-d30-heterogeneous-fast,h105-o900-d30,decode,tight-TPOT,raw,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.0003862472000000002,"{""-1"":0.0087240619,""-2"":0.0091103091,""0"":0.0085371232,""1"":0.0083541903,""2"":0.008}","{""-1"":0.0087240619,""-2"":0.0091103091,""0"":0.0085371232,""1"":0.0083541903,""2"":0.008}",agreement,0.0,False,False,False,[],[-2],0.0091103091,True,0.0091103091,0.0091103091,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False,False,False,[]
h105-o900-d30-heterogeneous-fast,h105-o900-d30,decode,tight-TPOT,legacy,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.0003862472000000002,"{""-1"":0.0085371232,""-2"":0.008915094,""0"":0.0083541903,""1"":0.0081751772,""2"":0.004}","{""-1"":0.0087240619,""-2"":0.0091103091,""0"":0.0085371232,""1"":0.0083541903,""2"":0.008}",agreement,0.0,False,False,False,[],[-2],0.008915094,True,0.0091103091,0.0091103091,0.0,0.0,0.9785720662320887,0.0214279337679113,0.9785720662320887,0.0214279337679113,0.021427933767911335,False,False,False,[]
h105-o900-d30-heterogeneous-fast,h105-o900-d30,prefill,relaxed-TPOT (fixed TTFT),raw,0,"[0,1,2]",[1],2,4.268435781499996,0.8973545375026458,False,False,0.8944271909999159,4.268435781499996,"{""-1"":4.9776531865,""-2"":4.2773454128,""0"":5.0866495983,""1"":5.0866495983,""2"":5.0866495983}","{""-1"":27.554493735,""-2"":19.9106127459,""0"":37.3158259837,""1"":41.5842617652,""2"":32.0658493305}",tie-break mismatch,0.10264546249735418,False,False,False,[],[1],5.0866495983,True,37.3158259837,41.5842617652,0.10264546249735418,4.268435781499996,0.1223215077622657,0.8776784922377343,0.1223215077622657,0.8776784922377343,0.7750330297403801,True,False,False,[]
h105-o900-d30-heterogeneous-fast,h105-o900-d30,prefill,relaxed-TPOT (fixed TTFT),legacy,1,"[1,2]",[1],1,0.0,1.0,True,False,0.7378647873726218,4.268435781499996,"{""-1"":4.9776531865,""-2"":4.2773454128,""0"":4.9776531865,""1"":5.0866495983,""2"":5.0866495983}","{""-1"":27.554493735,""-2"":19.9106127459,""0"":37.3158259837,""1"":41.5842617652,""2"":32.0658493305}",agreement,0.0,False,False,False,[],[1],5.0866495983,True,41.5842617652,41.5842617652,0.0,0.0,0.1223215077622657,0.8776784922377343,0.1223215077622657,0.8776784922377343,0.8776784922377343,True,False,False,[]
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,decode,tight-TPOT,raw,1,[1],[1],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.0083541903,""2"":0.0081751772}","{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.0083541903,""2"":0.0081751772}",agreement,0.0,False,False,False,"[-1,-2,0]",[1],0.0083541903,True,0.0083541903,0.0083541903,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False,False,False,"[-1,-2,0]"
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,decode,tight-TPOT,legacy,1,[1],[1],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.0081751772,""2"":0.008}","{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.0083541903,""2"":0.0081751772}",agreement,0.0,False,False,False,"[-1,-2,0]",[1],0.0081751772,True,0.0083541903,0.0083541903,0.0,0.0,0.978572058623084,0.02142794137691595,0.978572058623084,0.02142794137691595,0.02142794137691597,False,False,False,"[-1,-2,0]"
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,prefill,relaxed-TPOT (fixed TTFT),raw,1,"[1,2]",[2],2,1.4510307203000004,0.7384130729635613,False,False,0.9682458365518541,1.4510307203000004,"{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.2297227616,""2"":0.2297227616}","{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":4.096,""2"":5.5470307203}",tie-break mismatch,0.2615869270364387,True,False,False,"[-1,-2,0]",[2],0.2297227616,False,4.096,5.5470307203,0.2615869270364387,1.4510307203000004,0.04141364509832314,0.9585863549016769,0.0,1.0,0.696999427865238,True,False,False,"[-1,-2,0]"
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,prefill,relaxed-TPOT (fixed TTFT),legacy,1,"[1,2]",[2],2,1.4510307203000004,0.7384130729635613,False,False,0.9682458365518541,1.4510307203000004,"{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.2297227616,""2"":0.2297227616}","{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":4.096,""2"":5.5470307203}",tie-break mismatch,0.2615869270364387,True,False,False,"[-1,-2,0]",[2],0.2297227616,False,4.096,5.5470307203,0.2615869270364387,1.4510307203000004,0.04141364509832314,0.9585863549016769,0.0,1.0,0.696999427865238,True,False,False,"[-1,-2,0]"
